Date,Month,Year,Channel,Campaign_Name,Ad_Spend,Operational_Cost,Impressions,Clicks,Leads_Generated,Customers_Acquired,Total_Cost,Revenue_Generated,AOV,Conversion_Rate,Cost_Per_Acquisition,Month Name
8/13/2022,8,2022,Instagram,Discount Week,2611.26,263.75,369117,13379,2598,338,2875.01,7076.3,20.94,0.1301,8.51,August
10/3/2020,10,2020,Referral,Reactivation Campaign,4051.38,221.25,307450,2829,600,67,4272.63,13684.79,204.25,0.1117,63.77,October
3/30/2023,3,2023,TikTok,Black Friday Push,2350.28,28.7,371513,805,846,10,2378.98,7582.95,758.3,0.0118,237.9,March
4/4/2021,4,2021,Referral,Holiday Sales,354.59,400.52,187443,6545,4444,49,755.11,3082.24,62.9,0.011,15.41,April
8/30/2023,8,2023,Email,Discount Week,3952.76,53.14,152990,10237,863,487,4005.9,8240.98,16.92,0.5643,8.23,August
1/22/2020,1,2020,Google Search,Discount Week,1086.68,247.64,291523,9563,449,111,1334.32,2430.94,21.9,0.2472,12.02,January
9/9/2020,9,2020,Email,Black Friday Push,1367.24,289.13,383811,18764,1793,321,1656.37,11622.29,36.21,0.179,5.16,September
1/17/2022,1,2022,TikTok,Reactivation Campaign,907.06,321.64,485026,17450,4322,219,1228.7,1010.84,4.62,0.0507,5.61,January
5/6/2022,5,2022,Instagram,Brand Awareness,1718.05,350.54,215304,7397,3459,57,2068.59,10640.93,186.68,0.0165,36.29,May
5/3/2024,5,2024,TikTok,Brand Awareness,3808.08,141.57,397178,14299,3957,283,3949.65,17750.1,62.72,0.0715,13.96,May
4/19/2021,4,2021,Facebook Ads,Discount Week,2644.99,24.79,145923,14929,4692,459,2669.78,16789.89,36.58,0.0978,5.82,April
12/18/2022,12,2022,TikTok,Brand Awareness,1103.92,367.25,380770,14107,1035,113,1471.17,17679.08,156.45,0.1092,13.02,December
5/25/2021,5,2021,Facebook Ads,Summer Promo,4401.37,277.12,439963,12107,1300,133,4678.49,18456.57,138.77,0.1023,35.18,May
9/1/2024,9,2024,TikTok,Discount Week,4409.95,421.34,388324,4988,2068,71,4831.29,2269.65,31.97,0.0343,68.05,September
2/8/2024,2,2024,LinkedIn Ads,Discount Week,4365.83,414.27,315493,19272,1452,83,4780.1,2749.19,33.12,0.0572,57.59,February
11/30/2021,11,2021,Facebook Ads,Holiday Sales,1270.1,424.8,202904,787,2050,57,1694.9,11228.73,197,0.0278,29.74,November
9/2/2022,9,2022,Google Search,Brand Awareness,2311.07,252.85,188428,6250,4624,376,2563.92,17900.66,47.61,0.0813,6.82,September
12/11/2024,12,2024,Email,Reactivation Campaign,4926.45,180.14,146817,8421,2855,349,5106.59,19492.12,55.85,0.1222,14.63,December
7/8/2020,7,2020,Email,Discount Week,3882.86,399.95,6730,16665,3829,271,4282.81,1115.99,4.12,0.0708,15.8,July
8/15/2022,8,2022,Referral,Reactivation Campaign,233.12,236.62,408137,18351,2073,483,469.74,7244.33,15,0.233,0.97,August
11/17/2021,11,2021,Email,Summer Promo,419.5,108.05,230502,8584,3766,111,527.55,4415.31,39.78,0.0295,4.75,November
8/15/2022,8,2022,Instagram,Holiday Sales,2373.26,430.39,203210,2673,2280,357,2803.65,15168.12,42.49,0.1566,7.85,August
7/16/2021,7,2021,LinkedIn Ads,Black Friday Push,4555.18,443.63,215183,8696,1813,375,4998.81,12875.84,34.34,0.2068,13.33,July
5/9/2024,5,2024,TikTok,Reactivation Campaign,2739.64,243.83,20023,13593,1316,76,2983.47,2573.78,33.87,0.0578,39.26,May
6/21/2023,6,2023,Referral,Discount Week,2539.28,56.34,439565,12867,4060,158,2595.62,9773.74,61.86,0.0389,16.43,June
4/11/2022,4,2022,Instagram,Summer Promo,616.82,206.16,127796,18710,2456,20,822.98,13771.72,688.59,0.0081,41.15,April
3/8/2024,3,2024,Instagram,Lead Gen Burst,3318.22,405.7,344677,4547,1094,421,3723.92,15624.31,37.11,0.3848,8.85,March
2/28/2023,2,2023,Facebook Ads,Summer Promo,4128.31,452.85,346430,7983,1677,131,4581.16,597.04,4.56,0.0781,34.97,February
2/17/2024,2,2024,Email,Summer Promo,1964.06,117.67,305123,18569,3680,329,2081.73,17831.3,54.2,0.0894,6.33,February
10/8/2021,10,2021,Google Search,Holiday Sales,3900.5,52.15,285981,6777,4537,122,3952.65,11471.77,94.03,0.0269,32.4,October
1/21/2020,1,2020,Google Search,Black Friday Push,4825.94,441.13,409213,12206,4929,41,5267.07,16275.8,396.97,0.0083,128.47,January
4/20/2022,4,2022,Referral,Lead Gen Burst,1098.46,206.91,368119,17999,4359,167,1305.37,16197.17,96.99,0.0383,7.82,April
6/15/2020,6,2020,LinkedIn Ads,Brand Awareness,2664.32,280.05,482819,16742,2008,410,2944.37,3959.08,9.66,0.2042,7.18,June
7/21/2023,7,2023,Google Search,Brand Awareness,1506.98,484.67,177111,8677,4203,130,1991.65,2381.41,18.32,0.0309,15.32,July
1/22/2021,1,2021,TikTok,Reactivation Campaign,3984.99,51.95,21923,8418,4869,23,4036.94,14481.49,629.63,0.0047,175.52,January
8/23/2021,8,2021,Google Search,Summer Promo,2930.21,331.19,272020,16572,1129,279,3261.4,3297.25,11.82,0.2471,11.69,August
11/11/2020,11,2020,Referral,Holiday Sales,3209.45,55.57,324117,16627,1226,251,3265.02,17028.76,67.84,0.2047,13.01,November
1/14/2020,1,2020,Google Search,Holiday Sales,4009.78,200.23,397103,19691,2865,469,4210.01,14578.55,31.08,0.1637,8.98,January
8/29/2020,8,2020,TikTok,Brand Awareness,2040.26,405.83,195795,15627,2278,400,2446.09,16868.14,42.17,0.1756,6.12,August
2/15/2022,2,2022,Facebook Ads,Reactivation Campaign,4583.94,228.07,305566,19669,2995,9,4812.01,6120.45,680.05,0.003,534.67,February
10/1/2023,10,2023,LinkedIn Ads,Reactivation Campaign,2711.84,498.65,234462,13522,2515,13,3210.49,6468.64,497.59,0.0052,246.96,October
7/18/2021,7,2021,Referral,Reactivation Campaign,873.98,288.35,52413,992,241,412,1162.33,13490.19,32.74,1.7095,2.82,July
6/16/2022,6,2022,Facebook Ads,Lead Gen Burst,3509.91,174.16,365628,4670,1149,411,3684.07,822.63,2,0.3577,8.96,June
9/25/2023,9,2023,Facebook Ads,Black Friday Push,3986.98,125.65,397057,16245,3258,307,4112.63,14584.64,47.51,0.0942,13.4,September
4/1/2020,4,2020,Facebook Ads,Lead Gen Burst,1652.13,188.25,256719,11204,3787,320,1840.38,16748.5,52.34,0.0845,5.75,April
10/22/2023,10,2023,Instagram,Discount Week,4300.18,198.82,29756,6403,771,52,4499,8420.24,161.93,0.0674,86.52,October
8/13/2022,8,2022,LinkedIn Ads,Discount Week,4540.1,52.98,334720,9195,2686,209,4593.08,15344.6,73.42,0.0778,21.98,August
1/18/2024,1,2024,Email,Black Friday Push,1456.83,197.4,119248,9544,2670,38,1654.23,3657.3,96.24,0.0142,43.53,January
12/22/2023,12,2023,LinkedIn Ads,Brand Awareness,4919.26,242.83,273448,13612,1764,100,5162.09,6580.76,65.81,0.0567,51.62,December
5/23/2021,5,2021,Instagram,Black Friday Push,789.49,366.91,31341,19815,3496,193,1156.4,19491.24,100.99,0.0552,5.99,May
2/14/2022,2,2022,Email,Holiday Sales,1089.88,335.23,398974,2930,2820,402,1425.11,19729.3,49.08,0.1426,3.55,February
2/4/2020,2,2020,LinkedIn Ads,Discount Week,1002.7,360.21,411226,595,3518,191,1362.91,10349.58,54.19,0.0543,7.14,February
7/24/2020,7,2020,Facebook Ads,Summer Promo,4480.55,24.01,128039,14182,500,51,4504.56,18698.54,366.64,0.102,88.32,July
1/9/2023,1,2023,Referral,Summer Promo,3306.03,124.48,192830,13354,3185,393,3430.51,10550.07,26.84,0.1234,8.73,January
5/4/2024,5,2024,Email,Brand Awareness,845.31,337.61,163730,1977,3935,141,1182.92,5973.44,42.36,0.0358,8.39,May
11/12/2023,11,2023,TikTok,Holiday Sales,2257.58,252.31,181074,16438,2077,168,2509.89,5484.61,32.65,0.0809,14.94,November
10/22/2022,10,2022,TikTok,Lead Gen Burst,3114.96,22.55,235390,11723,342,311,3137.51,18604.21,59.82,0.9094,10.09,October
10/18/2022,10,2022,Google Search,Holiday Sales,508.97,406.16,133447,15422,3954,109,915.13,3614.44,33.16,0.0276,8.4,October
11/14/2023,11,2023,Email,Summer Promo,4423.84,390.95,100485,2713,3113,207,4814.79,11676.72,56.41,0.0665,23.26,November
7/19/2021,7,2021,Referral,Summer Promo,4037.66,283.24,285236,15083,1822,427,4320.9,11199.4,26.23,0.2344,10.12,July
2/3/2023,2,2023,Instagram,Discount Week,2575.51,51.9,132562,9515,141,300,2627.41,14844.51,49.48,2.1277,8.76,February
11/30/2024,11,2024,Facebook Ads,Holiday Sales,4838.92,387.93,4729,3376,2560,110,5226.85,10085.01,91.68,0.043,47.52,November
2/9/2024,2,2024,Google Search,Holiday Sales,2147.03,300.18,138046,3709,4420,196,2447.21,5591.26,28.53,0.0443,12.49,February
12/3/2021,12,2021,TikTok,Summer Promo,4922.14,395.34,119222,17565,920,417,5317.48,3554.05,8.52,0.4533,12.75,December
2/5/2021,2,2021,Instagram,Lead Gen Burst,3372.81,380.84,348360,4813,3543,152,3753.65,12492.21,82.19,0.0429,24.7,February
12/30/2021,12,2021,Instagram,Brand Awareness,3209.89,405.44,84860,10878,2105,420,3615.33,14436.02,34.37,0.1995,8.61,December
4/28/2024,4,2024,Facebook Ads,Reactivation Campaign,913.18,268.64,259360,14870,2912,243,1181.82,11476.52,47.23,0.0834,4.86,April
6/10/2020,6,2020,Email,Brand Awareness,4421.45,87.36,360014,11271,2919,128,4508.81,14819.36,115.78,0.0439,35.23,June
7/20/2020,7,2020,TikTok,Holiday Sales,2194.7,342.16,22398,11261,1987,105,2536.86,3002.12,28.59,0.0528,24.16,July
9/22/2022,9,2022,Referral,Brand Awareness,894.94,317.83,297794,13619,3875,10,1212.77,17672.91,1767.29,0.0026,121.28,September
9/26/2020,9,2020,Instagram,Summer Promo,161.78,376.28,415508,5142,4533,356,538.06,11731.43,32.95,0.0785,1.51,September
3/26/2022,3,2022,Facebook Ads,Summer Promo,2842.8,101.54,495507,6072,3572,148,2944.34,2711.51,18.32,0.0414,19.89,March
7/18/2023,7,2023,Referral,Holiday Sales,2684.26,113.59,104889,12619,1003,489,2797.85,9346.12,19.11,0.4875,5.72,July
3/31/2021,3,2021,Email,Holiday Sales,3624.83,447.4,266303,19593,2152,365,4072.23,16926.88,46.38,0.1696,11.16,March
1/25/2024,1,2024,TikTok,Reactivation Campaign,4462.26,379.99,361306,13565,4699,364,4842.25,17971.73,49.37,0.0775,13.3,January
10/16/2024,10,2024,Email,Reactivation Campaign,489.09,455.95,456982,6209,400,459,945.04,5440.06,11.85,1.1475,2.06,October
6/29/2023,6,2023,Instagram,Discount Week,3684.33,384.18,226959,13273,3603,140,4068.51,14283.06,102.02,0.0389,29.06,June
10/13/2022,10,2022,Referral,Holiday Sales,1018.32,306.63,103834,8495,4515,190,1324.95,2179.71,11.47,0.0421,6.97,October
9/21/2024,9,2024,Referral,Lead Gen Burst,4305.07,333.98,411281,11072,943,402,4639.05,864.21,2.15,0.4263,11.54,September
10/22/2020,10,2020,Referral,Brand Awareness,4113.41,446.78,22638,3094,1641,94,4560.19,11295.9,120.17,0.0573,48.51,October
10/14/2024,10,2024,Instagram,Holiday Sales,2749.89,297.83,264217,9662,2729,492,3047.72,13957.59,28.37,0.1803,6.19,October
12/20/2021,12,2021,Instagram,Black Friday Push,3580.19,323.55,440727,5686,2515,496,3903.74,15956.58,32.17,0.1972,7.87,December
11/7/2024,11,2024,Email,Discount Week,1640.32,95.11,216379,11643,4641,229,1735.43,6936.28,30.29,0.0493,7.58,November
12/3/2020,12,2020,Google Search,Black Friday Push,2408.72,247.48,233069,16229,1654,63,2656.2,329.2,5.23,0.0381,42.16,December
5/28/2022,5,2022,Email,Summer Promo,4126.02,363.87,30320,2942,3695,340,4489.89,9694.48,28.51,0.092,13.21,May
12/12/2022,12,2022,TikTok,Reactivation Campaign,2350.4,150.05,464092,5862,3440,25,2500.45,513.9,20.56,0.0073,100.02,December
3/2/2022,3,2022,Facebook Ads,Brand Awareness,1853.21,117.08,35924,704,3206,268,1970.29,2021.29,7.54,0.0836,7.35,March
8/4/2020,8,2020,Referral,Holiday Sales,2521.64,170.64,213792,17193,4184,405,2692.28,6668.44,16.47,0.0968,6.65,August
2/2/2022,2,2022,Google Search,Black Friday Push,4158.42,135.92,434950,1848,4371,281,4294.34,8856.01,31.52,0.0643,15.28,February
7/6/2020,7,2020,Facebook Ads,Brand Awareness,1742.52,123.16,331260,5209,2296,11,1865.68,5733.49,521.23,0.0048,169.61,July
1/14/2021,1,2021,Google Search,Summer Promo,951.43,223.93,172097,11668,4488,320,1175.36,11720.93,36.63,0.0713,3.67,January
5/7/2021,5,2021,LinkedIn Ads,Reactivation Campaign,3588.87,455.76,488719,8496,218,201,4044.63,1295.93,6.45,0.922,20.12,May
11/30/2022,11,2022,Email,Lead Gen Burst,4147.29,263.39,3159,3873,3242,126,4410.68,3062.68,24.31,0.0389,35.01,November
3/26/2023,3,2023,Instagram,Discount Week,593.12,110.2,49940,16149,3867,306,703.32,13966.12,45.64,0.0791,2.3,March
1/15/2020,1,2020,Referral,Brand Awareness,1275.38,56.95,80436,18310,63,190,1332.33,3014.39,15.87,3.0159,7.01,January
3/5/2020,3,2020,Email,Brand Awareness,795.66,354.15,471192,7837,2935,89,1149.81,12867.55,144.58,0.0303,12.92,March
6/4/2021,6,2021,Facebook Ads,Lead Gen Burst,1804.91,203.74,15678,11246,4943,355,2008.65,1282.76,3.61,0.0718,5.66,June
9/29/2023,9,2023,LinkedIn Ads,Brand Awareness,2306.72,414.48,193147,6430,2976,116,2721.2,8266.17,71.26,0.039,23.46,September
2/26/2023,2,2023,LinkedIn Ads,Summer Promo,3769.25,336.57,441420,17442,1532,352,4105.82,3712.71,10.55,0.2298,11.66,February
10/9/2021,10,2021,LinkedIn Ads,Summer Promo,3290.62,402.2,406237,9752,127,177,3692.82,2370.8,13.39,1.3937,20.86,October
2/4/2024,2,2024,Facebook Ads,Lead Gen Burst,3142.55,150.53,138844,18942,3724,14,3293.08,11427.25,816.23,0.0038,235.22,February
12/22/2022,12,2022,Facebook Ads,Discount Week,1826.64,352.33,68163,2732,1441,257,2178.97,18581.05,72.3,0.1783,8.48,December
3/8/2023,3,2023,Facebook Ads,Holiday Sales,4223.09,146.75,242040,1039,1167,209,4369.84,1284.78,6.15,0.1791,20.91,March
3/2/2024,3,2024,Facebook Ads,Black Friday Push,2409.31,470.75,205827,12526,3305,281,2880.06,8546.77,30.42,0.085,10.25,March
8/15/2021,8,2021,LinkedIn Ads,Holiday Sales,4897.61,325.46,155536,8496,3350,443,5223.07,14209.2,32.07,0.1322,11.79,August
1/26/2021,1,2021,LinkedIn Ads,Brand Awareness,3207.3,175.77,52137,4761,2491,328,3383.07,9361.22,28.54,0.1317,10.31,January
8/25/2024,8,2024,Google Search,Black Friday Push,718.7,149.37,424448,6529,566,325,868.07,16168.62,49.75,0.5742,2.67,August
2/22/2021,2,2021,Email,Lead Gen Burst,3413.27,111.64,324641,13211,3986,389,3524.91,3756.98,9.66,0.0976,9.06,February
10/15/2020,10,2020,Referral,Lead Gen Burst,1693.01,353.43,468240,14685,1742,105,2046.44,19199.97,182.86,0.0603,19.49,October
1/13/2021,1,2021,Instagram,Discount Week,3463,124.98,101485,8125,909,483,3587.98,7826.22,16.2,0.5314,7.43,January
12/1/2024,12,2024,LinkedIn Ads,Black Friday Push,441.24,305.75,241970,1057,3559,147,746.99,6963.08,47.37,0.0413,5.08,December
2/22/2024,2,2024,Instagram,Summer Promo,956.92,147.02,445664,7738,4495,279,1103.94,17517.19,62.79,0.0621,3.96,February
8/18/2020,8,2020,Email,Black Friday Push,4293.11,337.75,106468,10813,1731,9,4630.86,11364.57,1262.73,0.0052,514.54,August
10/14/2022,10,2022,Email,Brand Awareness,1213.18,411.17,478733,3958,2928,118,1624.35,10425.6,88.35,0.0403,13.77,October
2/10/2020,2,2020,Instagram,Summer Promo,4201.5,393.45,1901,19237,3536,94,4594.95,14594.16,155.26,0.0266,48.88,February
11/17/2022,11,2022,LinkedIn Ads,Reactivation Campaign,1468.45,385.21,88980,12007,3911,434,1853.66,11680.72,26.91,0.111,4.27,November
5/14/2020,5,2020,Instagram,Reactivation Campaign,3250.12,110.11,370738,4429,939,144,3360.23,3417.81,23.73,0.1534,23.33,May
7/19/2020,7,2020,Google Search,Reactivation Campaign,3501.34,62.42,477813,16532,79,289,3563.76,13549.11,46.88,3.6582,12.33,July
2/18/2022,2,2022,TikTok,Lead Gen Burst,2612.01,355.5,266025,927,299,386,2967.51,2842.68,7.36,1.291,7.69,February
7/18/2022,7,2022,LinkedIn Ads,Black Friday Push,1596.02,196.81,293007,15635,25,14,1792.83,16155.98,1154,0.56,128.06,July
11/22/2022,11,2022,LinkedIn Ads,Reactivation Campaign,1141.96,227.53,243434,18302,3247,494,1369.49,19796.78,40.07,0.1521,2.77,November
12/7/2022,12,2022,Referral,Holiday Sales,262.63,34.95,399838,19099,1043,257,297.58,7672.27,29.85,0.2464,1.16,December
5/17/2021,5,2021,Facebook Ads,Discount Week,1589.34,144.6,395594,17822,4660,346,1733.94,9006.17,26.03,0.0742,5.01,May
2/10/2021,2,2021,TikTok,Holiday Sales,3300.5,36.16,477384,18849,1114,186,3336.66,1119.39,6.02,0.167,17.94,February
5/16/2024,5,2024,Email,Reactivation Campaign,4697.69,442.01,488063,2687,3776,345,5139.7,471.92,1.37,0.0914,14.9,May
10/17/2024,10,2024,LinkedIn Ads,Discount Week,4368.9,136.83,203258,7292,376,400,4505.73,18444.1,46.11,1.0638,11.26,October
3/15/2022,3,2022,Instagram,Brand Awareness,3853.72,287.52,308345,9307,4918,207,4141.24,2746.76,13.27,0.0421,20.01,March
4/8/2020,4,2020,TikTok,Holiday Sales,3963.39,38.71,252839,8663,1179,346,4002.1,9026.42,26.09,0.2935,11.57,April
11/14/2021,11,2021,Referral,Black Friday Push,3358.43,340.09,322395,2933,1169,431,3698.52,16344.02,37.92,0.3687,8.58,November
12/26/2021,12,2021,Email,Black Friday Push,1375.41,175.05,73572,1254,1097,172,1550.46,17808.51,103.54,0.1568,9.01,December
4/19/2024,4,2024,Facebook Ads,Holiday Sales,4545.26,451,40255,16978,1288,464,4996.26,10484.07,22.59,0.3602,10.77,April
8/18/2022,8,2022,Facebook Ads,Reactivation Campaign,3386.59,446.3,64212,11881,2016,270,3832.89,11387.64,42.18,0.1339,14.2,August
10/28/2024,10,2024,Referral,Black Friday Push,2846.16,176.14,313354,15514,850,221,3022.3,13459.74,60.9,0.26,13.68,October
9/4/2021,9,2021,Referral,Brand Awareness,643.85,452.46,388773,17657,1996,152,1096.31,19235.37,126.55,0.0762,7.21,September
1/25/2024,1,2024,Instagram,Summer Promo,2290.57,498.16,23499,19606,525,111,2788.73,12132.87,109.31,0.2114,25.12,January
10/4/2021,10,2021,LinkedIn Ads,Reactivation Campaign,2355.76,416.2,103552,14044,4471,183,2771.96,11277.61,61.63,0.0409,15.15,October
11/27/2024,11,2024,Facebook Ads,Brand Awareness,4336.36,425.54,445844,6570,4201,399,4761.9,487.78,1.22,0.095,11.93,November
10/25/2022,10,2022,Email,Discount Week,2778.58,139.52,62360,704,4761,339,2918.1,1802.8,5.32,0.0712,8.61,October
5/26/2023,5,2023,TikTok,Brand Awareness,1963.96,296.82,398819,18880,247,72,2260.78,11628,161.5,0.2915,31.4,May
5/17/2021,5,2021,Email,Reactivation Campaign,4886.32,52.28,487525,8462,2805,418,4938.6,18737.56,44.83,0.149,11.81,May
2/5/2022,2,2022,Google Search,Discount Week,642.53,65.56,390610,3716,4612,386,708.09,17360.49,44.98,0.0837,1.83,February
2/1/2021,2,2021,Google Search,Reactivation Campaign,2170.49,499.47,348617,4327,2901,283,2669.96,19655.06,69.45,0.0976,9.43,February
5/20/2022,5,2022,Referral,Black Friday Push,305.92,176.79,144704,19003,2607,74,482.71,10651.11,143.93,0.0284,6.52,May
3/5/2022,3,2022,Instagram,Summer Promo,3725.53,379.13,162679,5565,2278,355,4104.66,15801.03,44.51,0.1558,11.56,March
1/27/2021,1,2021,Google Search,Reactivation Campaign,4598.58,407.2,92873,9255,1546,215,5005.78,16839.93,78.33,0.1391,23.28,January
7/25/2020,7,2020,Facebook Ads,Reactivation Campaign,1472.18,431.85,66756,15248,2770,497,1904.03,13031.03,26.22,0.1794,3.83,July
11/4/2022,11,2022,Email,Black Friday Push,4305.87,498.86,441210,4035,2119,328,4804.73,6907.25,21.06,0.1548,14.65,November
4/26/2024,4,2024,Email,Lead Gen Burst,1531.87,135.92,195454,13185,4496,476,1667.79,9505.57,19.97,0.1059,3.5,April
6/10/2022,6,2022,Referral,Black Friday Push,4562.77,39.37,464570,8217,4712,23,4602.14,17186.76,747.25,0.0049,200.09,June
1/24/2024,1,2024,LinkedIn Ads,Discount Week,3794.41,217.37,319488,7498,3088,68,4011.78,6111.25,89.87,0.022,59,January
9/10/2024,9,2024,LinkedIn Ads,Black Friday Push,4044.04,82.44,447991,19453,1862,398,4126.48,18490.11,46.46,0.2137,10.37,September
5/17/2024,5,2024,TikTok,Black Friday Push,188.23,30.76,401565,3731,774,447,218.99,4750.17,10.63,0.5775,0.49,May
5/13/2022,5,2022,Referral,Summer Promo,4817.77,193,334298,17006,1427,373,5010.77,15040.43,40.32,0.2614,13.43,May
1/12/2022,1,2022,TikTok,Black Friday Push,3660.69,396.19,28464,9574,411,362,4056.88,12685.07,35.04,0.8808,11.21,January
6/18/2023,6,2023,LinkedIn Ads,Reactivation Campaign,1593.28,291.77,436840,4803,2977,93,1885.05,15042.07,161.74,0.0312,20.27,June
7/17/2021,7,2021,Referral,Summer Promo,4164.03,170.13,122897,7132,1877,321,4334.16,8859.48,27.6,0.171,13.5,July
10/17/2022,10,2022,Referral,Holiday Sales,1479.45,334.08,300488,4052,2699,324,1813.53,18666.29,57.61,0.12,5.6,October
4/5/2020,4,2020,Referral,Lead Gen Burst,4376.49,131.37,84791,5679,2274,384,4507.86,12722.95,33.13,0.1689,11.74,April
10/23/2024,10,2024,LinkedIn Ads,Summer Promo,651.64,26.9,156371,12328,4754,63,678.54,5908.26,93.78,0.0133,10.77,October
4/29/2021,4,2021,TikTok,Discount Week,3548.06,386.89,180047,8467,1186,224,3934.95,12841.41,57.33,0.1889,17.57,April
12/1/2023,12,2023,TikTok,Holiday Sales,2749.42,319.4,133534,2047,1444,225,3068.82,5878.95,26.13,0.1558,13.64,December
8/18/2020,8,2020,Referral,Summer Promo,573.02,385.91,383353,9013,3058,369,958.93,6013.92,16.3,0.1207,2.6,August
1/18/2022,1,2022,Google Search,Summer Promo,1285.28,38.69,82441,15834,3338,346,1323.97,8112.05,23.45,0.1037,3.83,January
8/5/2024,8,2024,Instagram,Lead Gen Burst,160.78,421.82,353600,4574,2902,337,582.6,17078.12,50.68,0.1161,1.73,August
4/9/2023,4,2023,LinkedIn Ads,Reactivation Campaign,2396.96,317.37,344932,3457,2908,103,2714.33,10105.9,98.12,0.0354,26.35,April
6/24/2021,6,2021,Instagram,Discount Week,1576.2,290.43,238612,6781,233,215,1866.63,13642.24,63.45,0.9227,8.68,June
11/25/2022,11,2022,Instagram,Brand Awareness,3031.95,319.81,434797,7845,3964,192,3351.76,7960.96,41.46,0.0484,17.46,November
